19 TROFEO CITTA' DI SAN VENDEMIANO UNDER23 | 2026-04-12 | x1 | no_match
72 COPPA MARIA SS DELLA STELLA | 2026-04-12 | x1 | no_match
72 COPPA MARIA SS DELLA STELLA | 2026-04-12 | x1 | no_match
4 PICCOLA LIEGI DELLE BREGONZE CASA ENRICO | 2026-04-12 | x1 | no_match
SAGRA DEL CICLISMO MEMORIAL MARTELLINI LIDO | 2026-04-12 | x1 | no_match
25 GRAN PREMIO COLLI MARIGNANESI PROVA VALIDA CAMPIONATO REGIONALE | 2026-04-12 | x2 | keyword_match
4 MEMORIAL GERMANO VITTONI | 2026-04-12 | x1 | no_match
2 TROFEO CASSA DI RISPARMIO DI FOSSANO | 2026-04-12 | x1 | no_match
2 TROFEO CASSA DI RISPARMIO DI FOSSANO | 2026-04-12 | x1 | no_match
TROFEO CITTA' DI GUSPINI | 2026-04-12 | x1 | no_match
TROFEO CITTA' DI GUSPINI | 2026-04-12 | x1 | no_match
SAGRA DEL CICLISMO MEMORIAL NIERI MAURO | 2026-04-12 | x1 | no_match
GRAN PREMIO COLLI MARIGNANESI | 2026-04-12 | x1 | no_match
7 MEMORIAL MORATTI | 2026-04-12 | x1 | no_match
68 GIRO DELLE TRE PROVINCIE | 2026-04-12 | x1 | no_match
42 GRAN PREMIO COMUNE DI LONATE CEPPINO | 2026-04-12 | x1 | no_match
GARDOLO IN BICI | 2026-04-12 | x1 | no_match
1 TROFEO CRONOSCALATA ISOLA DI CAPRI | 2026-04-12 | x1 | no_match
1 TROFEO BED E BIKE MASTROMARCO MEMORIAL MARIOTTI RENATO | 2026-04-12 | x1 | no_match
GRAN PREMIO RESANA | 2026-04-12 | x1 | no_match
1 TROFEO BED E BIKE MASTROMARCO MEMORIAL MARIOTTI RENATO DONNE ESORDIENTI PRIMO ANNO | 2026-04-12 | x1 | no_match
1 TROFEO BED E BIKE MASTROMARCO MEMORIAL MARIOTTI RENATO DONNE ESORDIENTI SECONDO ANNO | 2026-04-12 | x1 | no_match
GRAN PREMIO RESANA DONNE ESORDIENTI PRIMO ANNO | 2026-04-12 | x1 | no_match
GRAN PREMIO RESANA DONNE ESORDIENTI SECONDO ANNO | 2026-04-12 | x1 | no_match
45 TROFEO BCC VENEZIA GIULIA GARA UNICA | 2026-04-12 | x1 | no_match
45 TROFEO BCC VENEZIA GIULIA GARA UNICA | 2026-04-12 | x1 | no_match
TROFEO CITTA' DI GUSPINI GARA UNICA | 2026-04-12 | x1 | no_match
TROFEO CITTA' DI GUSPINI GARA UNICA | 2026-04-12 | x1 | no_match
1 TROFEO CRONOSCALATA ISOLA DI CAPRI | 2026-04-12 | x1 | no_match
1 TROFEO CRONOSCALATA ISOLA DI CAPRI | 2026-04-12 | x1 | no_match
SAGRA DEL CICLISMO MEMORIAL PIERO VENTURINI | 2026-04-12 | x1 | no_match
SAGRA DEL CICLISMO MEMORIAL PIERO VENTURINI | 2026-04-12 | x1 | no_match
GRAN PREMIO RESANA | 2026-04-12 | x1 | no_match
GRAN PREMIO RESANA | 2026-04-12 | x1 | no_match
29 MEMORIAL LUIGI BUSSACCHINI | 2026-04-12 | x1 | no_match
29 MEMORIAL LUIGI BUSSACCHINI | 2026-04-12 | x1 | no_match
3 TROFEO NORD PNEUS | 2026-04-12 | x1 | no_match
3 TROFEO NORD PNEUS | 2026-04-12 | x1 | no_match
TROFEO CICLOTOUR | 2026-04-12 | x1 | no_match
TROFEO CICLOTOUR GARA UNICA | 2026-04-12 | x1 | no_match
TROFEO CICLOTOUR GARA UNICA | 2026-04-12 | x1 | no_match
76 MILANO BUSSETO UNDER23 | 2026-04-11 | x1 | no_match
62 GIRO DELLA CASTELLANIA | 2026-04-11 | x1 | no_match
DONNE OPEN | 2026-04-11 | x1 | no_match
DONNE OPEN PROVA VALIDA CAMPIONATO REGIONALE DONNE JUNIORES | 2026-04-11 | x2 | keyword_match
11 TROFEO CITTA' DI BRUSIMPIANO CRONOSCALATA | 2026-04-11 | x1 | no_match
7 TROFEO DINO PIETRELLA CRONOMETRO DONNE ESORDIENTI PRIMO ANNO | 2026-04-11 | x1 | no_match
7 TROFEO DINO PIETRELLA CRONOMETRO DONNE ESORDIENTI SECONDO ANNO | 2026-04-11 | x1 | no_match
7 TROFEO DINO PIETRELLA CRONOMETRO | 2026-04-11 | x1 | no_match
7 TROFEO DINO PIETRELLA CRONOMETRO | 2026-04-11 | x1 | no_match
7 TROFEO DINO PIETRELLA CRONOMETRO | 2026-04-11 | x1 | no_match
63 GRAN PREMIO PALIO DEL RECIOTO UNDER23 | 2026-04-07 | x1 | no_match
87 GIRO DEL BELVEDERE UNDER23 | 2026-04-06 | x1 | no_match
GRAN PREMIO DEL PERDONO | 2026-04-06 | x1 | no_match
79 TROFEO VISENTINI | 2026-04-06 | x1 | no_match
71 GRAN PREMIO MARTIRI DELLA LIBERTA' | 2026-04-06 | x1 | no_match
COPPA PALAZZOLO 2026 PROVA VALIDA CAMPIONATO REGIONALE | 2026-04-06 | x2 | keyword_match
36 GRAN PREMIO CITTA' DI SAN MAURO PASCOLI PROVA VALIDA CAMPIONATO REGIONALE | 2026-04-06 | x2 | keyword_match
36 GRAN PREMIO CITTA' DI SAN MAURO PASCOLI DONNE ESORDIENTI PRIMO ANNO | 2026-04-06 | x1 | no_match
36 GRAN PREMIO CITTA' DI SAN MAURO PASCOLI DONNE ESORDIENTI SECONDO ANNO | 2026-04-06 | x1 | no_match
36 GRAN PREMIO CITTA' DI SAN MAURO PASCOLI | 2026-04-06 | x1 | no_match
67 GIR DA GIAVE | 2026-04-06 | x1 | no_match
MEMORIAL FIORENZO MONTANARI | 2026-04-06 | x1 | no_match
78 COPPA COMUNE DI CALENZANO | 2026-04-06 | x1 | no_match
5 TROFEO CITTA' DI MONTEVARCHI | 2026-04-06 | x1 | no_match
78 COPPA COMUNE DI CALENZANO GARA UNICA | 2026-04-06 | x1 | no_match
78 COPPA COMUNE DI CALENZANO GARA UNICA | 2026-04-06 | x1 | no_match
COPPA CITTA' DI MONTEVARCHI GARA UNICA | 2026-04-06 | x1 | no_match
COPPA CITTA' DI MONTEVARCHI GARA UNICA | 2026-04-06 | x1 | no_match
46 GRAN PREMIO MOSOLE | 2026-04-06 | x1 | no_match
46 GRAN PREMIO MOSOLE | 2026-04-06 | x1 | no_match
77 TROFEO PIVA UNDER23 | 2026-04-05 | x1 | no_match
50 COPPA CADUTI DI REDA | 2026-04-05 | x1 | no_match
PASQUALANDO | 2026-04-05 | x1 | no_match
PASQUALANDO | 2026-04-05 | x1 | no_match
PASQUALANDO | 2026-04-05 | x1 | no_match
PASQUALANDO GARA UNICA | 2026-04-05 | x1 | no_match
PASQUALANDO GARA UNICA | 2026-04-05 | x1 | no_match
TROFEO MICHELE SCARPONI DUE GIORNI | 2026-04-04 | x1 | no_match
PASQUALANDO | 2026-04-04 | x1 | no_match
37 MEMORIAL VINCENZO MANTOVANI | 2026-04-04 | x1 | no_match
PASQUALANDO | 2026-04-04 | x1 | no_match
6 TROFEO CITTA' BELLARIA IGEA MARINA | 2026-04-04 | x1 | no_match
GIORNATA AZZURRA | 2026-04-04 | x1 | no_match
GIORNATA AZZURRA ESORDIENTI GARA UNICA | 2026-04-04 | x1 | no_match
GIORNATA AZZURRA ESORDIENTI GARA UNICA | 2026-04-04 | x1 | no_match
6 TROFEO CITTA' BELLARIA IGEA MARINA | 2026-04-04 | x1 | no_match
6 TROFEO CITTA' BELLARIA IGEA MARINA | 2026-04-04 | x1 | no_match
TROFEO DI PASQUA | 2026-04-04 | x1 | no_match
TROFEO DI PASQUA GARA UNICA | 2026-04-04 | x1 | no_match
TROFEO DI PASQUA GARA UNICA | 2026-04-04 | x1 | no_match
TROFEO MICHELE SCARPONI DUE GIORNI | 2026-04-03 | x1 | no_match
64 COPPA FIERA DI MERCATALE | 2026-03-31 | x1 | no_match
5 GRAN PREMIO DELLA BATTAGLIA | 2026-03-29 | x1 | no_match
51 COPPA MARTIRI DI MONTEMAGGIO | 2026-03-29 | x1 | no_match
